,equal_returns,industry_returns,NIFTY_returns
201,88448.90069580078,83800.78418684006,102975.99609375
202,88192.94060516357,83251.61373090744,102549.501953125
203,88011.59150695801,83163.38733625412,103072.998046875
204,87207.87101745605,81818.07044935226,102172.001953125
205,85693.4105796814,80147.97379636765,101594.501953125
206,83726.36012268066,78138.31061410904,99485.498046875
207,85478.09020996094,79864.19689941406,101510.498046875
208,86118.6003112793,80465.27083492279,102493.49609375
209,87130.23965454102,81432.41683769226,103022.001953125
210,86960.53206253052,81405.66423368454,102987.5
211,87564.32126998901,80943.54361987114,102436.50390625
212,86253.40072631836,80378.2740623951,102850.498046875
213,86042.31365585327,80320.94513177872,103350.99609375
214,84974.63106155396,79665.47713780403,103157.5
215,83612.1714477539,78738.09395503998,102590.498046875
216,82955.71186828613,77608.7770910263,101890.0
217,82186.13191604614,77395.25117015839,101435.498046875
218,83194.59130477905,78256.84424829483,102685.0
219,84245.55209350586,77997.95117115974,102566.50390625
220,81464.24034881592,76065.84704446793,100562.001953125
221,79999.83131408691,74930.414488554,100227.001953125
222,78795.26122283936,73612.8301153183,99207.001953125
223,77993.6212348938,72433.00693845749,98773.49609375
224,74483.34184265137,69965.44386935234,95340.498046875
225,74089.89073944092,69165.96073102951,94767.998046875
226,75155.56133270264,69964.2242269516,96222.998046875
227,73605.56146240234,68831.29399728775,95562.5
228,73400.26175308228,68711.53415155411,95781.50390625
229,71216.760597229,66876.31722950935,93579.501953125
230,67454.00157737732,63640.897725343704,89293.49609375
231,67487.58107757568,63057.06991124153,89160.498046875
232,61326.53158569336,57193.144030332565,81993.5009765625
233,63996.43155288696,58957.257140398026,84610.0
234,60744.50035858154,56259.50363111496,78898.9990234375
235,60399.36135101318,55743.66761302948,77156.4990234375
236,57496.31227302551,53426.59095072746,73085.498046875
237,54753.2917137146,51128.26760363579,71052.001953125
238,57403.59164619446,53605.04743671417,74581.0009765625
239,51966.17185783386,47578.884328365326,65410.0
240,51254.561168670654,47199.00735783577,66634.501953125
241,52199.59086036682,48415.96707653999,70220.0
242,54092.361726760864,49957.65093708038,72918.5009765625
243,54240.01090621948,49606.20030117035,73012.998046875
244,53446.27082824707,48827.65047764778,70472.001953125
245,53446.27082824707,48827.65047764778,72947.5
246,53376.350938797,48574.88034296036,70599.501953125
247,54669.51110076904,49827.0969247818,69364.501953125
248,57163.3903503418,52012.14013504982,74470.0
249,58128.21096038818,52636.16666221619,74594.501953125
250,61115.56990814209,54967.13661313057,77396.4990234375
251,61754.61082839966,55730.02061700821,76583.5009765625
252,62617.52095413208,56823.873510837555,76423.5009765625
253,64624.13027191162,58607.18354892731,77102.998046875
254,65388.370864868164,60013.23038864136,79123.9990234375
255,66681.93053817749,61103.383295059204,79126.0009765625
256,63682.40096282959,58493.64043426514,76938.5009765625
257,63371.46105957031,58115.41029548645,78317.998046875
258,63197.23048400879,58375.44688415527,79232.998046875
259,61696.36114501953,57222.01026582718,77914.501953125
260,62256.70017242432,57428.280010700226,79019.501953125
261,63159.84065246582,57878.61655855179,79704.501953125
262,64235.39179611206,58280.234016895294,80952.001953125
